iters,ssim,psnr,rmse
1000+500,0.9409058177023922,22.07943081855774,0.08168633
10000+5000,0.9493993526878635,23.512120246887207,0.06894706
11000+5500,0.9493392215263212,23.365029096603394,0.069247365
12000+6000,0.9497084841501455,23.583322763442993,0.068541646
13000+6500,0.9487618767165771,23.51225972175598,0.0690006
14000+7000,0.9495476377798944,23.703027963638306,0.068799645
15000+7500,0.9493719670769982,23.528255224227905,0.069223374
16000+8000,0.9494445627262608,23.617959022521973,0.0675849
17000+8500,0.9492847961476056,23.674415349960327,0.068691015
18000+9000,0.9499606512523517,23.553284406661987,0.06932424
19000+9500,0.9499676947011877,23.58745574951172,0.069043145
2000+1000,0.944763407845963,22.47995138168335,0.077002004
20000+10000,0.9498863231431096,23.60762119293213,0.069058955
3000+1500,0.9467044443744685,22.846568822860718,0.074730515
30000+15000,0.949795825251768,23.705594539642334,0.06752069
4000+2000,0.9480723711306216,23.026012182235718,0.07500787
40000+20000,0.9490921316644907,23.75762104988098,0.06696338
5000+2500,0.9484401094887202,23.231027126312256,0.07319174
50000+25000,0.9489791135911396,23.806623220443726,0.06688848
6000+3000,0.9480480350179246,23.367934226989746,0.072158545
7000+3500,0.9474351831749219,23.417248725891113,0.07099199
8000+4000,0.9492051628069427,23.43356728553772,0.07070586
9000+4500,0.9492342240300573,23.599296808242798,0.06913723
